"id","name","type","createdAt","updatedAt","deletedAt","parentId"
4,Hà Nội,1,"2022-06-27 03:48:05.433658000","2022-06-27 03:48:05.433658000",,
5,Tiền Giang,1,"2022-06-28 17:48:39.763271000","2022-06-28 17:48:39.763271000",,
6,Hưng Yên,1,"2022-06-28 17:48:39.805246000","2022-06-28 17:48:39.805246000",,
7,TP Hồ Chí Minh,1,"2022-06-28 17:48:39.847182000","2022-06-28 17:48:39.847182000",,
8,Cà Mau,1,"2022-06-28 17:48:39.880478000","2022-06-28 17:48:39.880478000",,
9,Đắc Lắc,1,"2022-06-28 17:48:39.907200000","2022-06-28 17:48:39.907200000",,
10,Nam Định,1,"2022-06-28 17:48:39.938187000","2022-06-28 17:48:39.938187000",,
11,Quảng Ninh,1,"2022-06-28 17:48:39.968203000","2022-06-28 17:48:39.968203000",,
12,Đắk Nông,1,"2022-06-28 17:48:39.994320000","2022-06-28 17:48:39.994320000",,
13,Đà Nẵng,1,"2022-06-28 17:48:40.023309000","2022-06-28 17:48:40.023309000",,
14,Hải Dương,1,"2022-06-28 17:48:40.058525000","2022-06-28 17:48:40.058525000",,
15,Long An,1,"2022-06-28 17:48:40.095263000","2022-06-28 17:48:40.095263000",,
16,Bến Tre,1,"2022-06-28 17:48:40.135564000","2022-06-28 17:48:40.135564000",,
17,Đồng Tháp,1,"2022-06-28 17:48:40.175254000","2022-06-28 17:48:40.175254000",,
18,Vĩnh Long,1,"2022-06-28 17:48:40.204283000","2022-06-28 17:48:40.204283000",,
19,Kiên Giang,1,"2022-06-28 17:48:40.241927000","2022-06-28 17:48:40.241927000",,
20,Trà Vinh,1,"2022-06-28 17:48:40.283138000","2022-06-28 17:48:40.283138000",,
21,Sóc Trăng,1,"2022-06-28 17:48:40.321614000","2022-06-28 17:48:40.321614000",,
22,Bắc Ninh,1,"2022-06-28 17:48:40.351799000","2022-06-28 17:48:40.351799000",,
23,Thanh Hoá,1,"2022-06-28 17:48:40.387187000","2022-06-28 17:48:40.387187000",,
24,Vũng Tàu,1,"2022-06-28 17:48:40.418709000","2022-06-28 17:48:40.418709000",,
25,Đồng Nai,1,"2022-06-28 17:48:40.448219000","2022-06-28 17:48:40.448219000",,
26,Bình Dương,1,"2022-06-28 17:48:40.484240000","2022-06-28 17:48:40.484240000",,
